,AAPL,MSFT,NVDA,GOOGL,META,AMZN,TSLA,AMD,INTC,CSCO,ADBE,CRM,ORCL,IBM,QCOM,TXN,NOW,AVGO,MU,AMAT,JPM,BAC,WFC,GS,MS,C,AXP,BLK,SCHW,USB,JNJ,PFE,MRK,ABBV,LLY,TMO,DHR,ABT,BMY,CVS,KO,PEP,PG,COST,WMT,HD,MCD,SBUX,NKE,LOW,CAT,DE,BA,GE,HON,LMT,RTX,UPS,UNP,MMM,XOM,CVX,COP,SLB,EOG,PSX,MPC,OXY,KMI,VLO,DIS,NFLX,CMCSA,VZ,T,TMUS,CHTR,EA,NEE,DUK,SO,AEP,PLD,AMT,CCI,SPG,O,EQIX
AAPL,0.0934566678594933,0.05916346596962071,0.0878602924320029,0.05793026660486324,0.06646630850367964,0.06135211474805255,0.0873944115818575,0.08362450070225409,0.059811154234640986,0.04431766171077771,0.06385727394662713,0.05780338539217112,0.040890643363980794,0.032126167138700625,0.06842357003241681,0.05727533796529863,0.06521347289103842,0.06521429395157155,0.06977977452531389,0.07524440536933502,0.03787652335112642,0.04259880189912919,0.03938419780743364,0.04642978807932002,0.050369416529507556,0.04779328043963116,0.04815698885573282,0.0507356568121358,0.037830174628324845,0.03746762249204794,0.018681121003418236,0.02295300178515413,0.020434173838280303,0.02305821252055297,0.027181486077145343,0.039624591879848466,0.039152946839054445,0.032753199155991244,0.020362552622291738,0.023351664935716904,0.020566620688881532,0.025584183801626536,0.0216691914579678,0.034311415695342885,0.023142648820676303,0.04158285130620955,0.025989893301985825,0.04435553548045704,0.04793477642295408,0.04432078191213932,0.038956425377845834,0.03796346892822797,0.05535947817098642,0.041433824720475285,0.036184744523079064,0.020193196561861377,0.03146644954104495,0.03940464728984798,0.03664038468355878,0.03428598303027306,0.02719165392755482,0.03199890341479013,0.03696148715162052,0.03856334107193024,0.03394939292599554,0.03528707129038649,0.04067591155351391,0.04264928424258117,0.027391879100533617,0.035820621094199985,0.04075373699486157,0.056989228851668614,0.03398037049471882,0.013618573363176394,0.020138891437688804,0.029550417893548894,0.03589820796855388,0.03196400150464319,0.02660729038593758,0.01671225897162883,0.018933441144876127,0.016432519069509318,0.04249221978402615,0.028203238830149312,0.02883555520665939,0.040937655055476974,0.026277938432780423,0.03599246916124444
MSFT,0.05916346596962071,0.08161954455384271,0.09426026287671424,0.060112335884234855,0.06996985072920442,0.06541116530538957,0.07674284496415762,0.08360100102051804,0.058460506600006075,0.04211224373419228,0.07188553095492943,0.06775302254571555,0.05266843438585587,0.03044755440524483,0.06038284470205381,0.04987711280350072,0.07917743539774193,0.06467861218588992,0.06902183756627314,0.07327956857478686,0.0355517241806809,0.03888200779090842,0.0362109345736313,0.04244280050864738,0.04752605348022237,0.043488806024105424,0.04590431444453469,0.049054725583071744,0.03816691990150129,0.031778754614356065,0.01659304250537826,0.021098946473115512,0.017465238784133925,0.022854736238333707,0.027279885368213373,0.03850060245198041,0.038493262530272646,0.032769544614190696,0.016099618333510916,0.021859266052705422,0.01817522333644635,0.022301666712619447,0.019443134786123115,0.03323036933192039,0.021103290915629257,0.03902283257727349,0.023829022738390323,0.04032320154383884,0.04176946444745186,0.041143828281491386,0.0337834830373353,0.03118884397000192,0.048316340002966654,0.03577758000830697,0.0326393676383336,0.01891703894249731,0.02897685492334975,0.03283592769475658,0.030879045031195946,0.02944200525113367,0.020837626484178508,0.028774494467480236,0.03193188309137704,0.02919534538119038,0.029638055771669836,0.030014797329738784,0.036355749322322224,0.035334500499013675,0.025660700010420978,0.03250169162569281,0.039138919333675574,0.060092719634059245,0.03165419232955292,0.011197934482397847,0.014584934977627232,0.029264016255614027,0.03129822328007865,0.032501986415117076,0.02433001610002959,0.01528398713433846,0.01731597445070874,0.014508714696364694,0.03717647857540453,0.02796649127459401,0.02706658889664879,0.0333299110422207,0.02410740400695657,0.0364054019957971
NVDA,0.0878602924320029,0.09426026287671424,0.2579142100235062,0.08887152736013705,0.1106879239127033,0.100341617160167,0.14214601550880301,0.1892979098510762,0.10424010059882013,0.061124060575718175,0.10163956270360454,0.09660455171933122,0.08099033376446874,0.041596376699619186,0.11815344037349003,0.09331349961860122,0.11477290817288985,0.13318888145133242,0.1543443446289658,0.15255116299387583,0.05247308619555966,0.056231817411728495,0.052881763556771266,0.06867176424994083,0.07567234405713812,0.06725638512482784,0.06744753142244023,0.0758496970482856,0.059437891773985715,0.044483626001502616,0.01109388299727184,0.02018017809178058,0.015350187709762972,0.026000394129258426,0.03550738485916639,0.057067359282104144,0.05501502468657116,0.04065967964433692,0.015015613364807917,0.024644473679500404,0.013907237157430028,0.01971431093758508,0.015923950876377033,0.04649509517599423,0.02476521354278772,0.056807443415358684,0.026550224107926852,0.05905720267572504,0.06267010114514694,0.060776450014288705,0.062477086915693134,0.0522341965671031,0.07815003615516157,0.06684970912770209,0.045174081123428377,0.019361897094395616,0.040704061984017804,0.05050252019677608,0.04494498797368341,0.044635573895576756,0.030378754803857082,0.04090491039313203,0.05029794201742329,0.05235890366485211,0.044995811554598655,0.04430374758824319,0.059570982078899486,0.05339125988784746,0.039352415547177125,0.049788108789587365,0.05730252999967052,0.09999337526910682,0.038846558797140274,0.0050842563376608816,0.012291548129539418,0.03660053275473894,0.04167712370596408,0.048811283007125505,0.02739258131639173,0.007957063618266461,0.011380350468131609,0.00780953315099244,0.05060605428399147,0.02796283317403963,0.02801158120400775,0.04647390919984376,0.02482292684282243,0.05435625617225761
GOOGL,0.05793026660486324,0.060112335884234855,0.08887152736013705,0.09611814442873569,0.07659318170777642,0.06762312439556405,0.07760954122854827,0.08559397951906456,0.058496194358935646,0.03988354248243093,0.06443845335861248,0.058963979671834636,0.042817874760860845,0.030462758771420826,0.06327663262114035,0.05170705626227796,0.06669597523349755,0.06316009350848449,0.07403189301908764,0.07544550443824814,0.03702417313730942,0.04068712532863631,0.039019713772593036,0.04487003712392994,0.04815798557829349,0.04660113226961855,0.04783749762333576,0.0486816268563341,0.037263927386144216,0.035741406536989026,0.015183718219831655,0.019307398804146707,0.01602576280968944,0.022337827636367,0.025877236000989203,0.036891916037761256,0.03597721771771896,0.028769618386940133,0.01779490007973307,0.01887126173599347,0.016640502915791503,0.01844824421701643,0.01586407966136373,0.02900070103726806,0.018114890901354968,0.03611784536156465,0.021950366452446614,0.039420395985665206,0.041821978966096095,0.03884239767084511,0.04012694125288512,0.032951786975735683,0.05148782300277326,0.03933167923870208,0.03327241090527831,0.016102787432503454,0.03086202095127319,0.031598845847601684,0.03202442895581205,0.030767525560357126,0.02351887978160687,0.02944079929464706,0.034157223889689926,0.037663381691488154,0.033303068707116204,0.03228341532052826,0.04050997821191464,0.03961643358829628,0.027978044456195228,0.03651576421998873,0.040036916060603445,0.05798108726524788,0.031441607394630006,0.010899800416992117,0.01529495522083893,0.026181383060980903,0.03186331256566143,0.030022488516279932,0.02228488956349232,0.012197522907455849,0.014946184833094336,0.011611465454849434,0.03565385734697539,0.022596805171222763,0.021727820544251288,0.036944778339891286,0.022316593521569426,0.032346396054791525
META,0.06646630850367964,0.06996985072920442,0.1106879239127033,0.07659318170777642,0.1722250168907425,0.0864208398102161,0.08805552508105731,0.10102420167909071,0.06797297585661473,0.0409601297800071,0.07666364422122268,0.07460819772137256,0.04984913679065411,0.03003788211039235,0.06854007605977354,0.05768466035929828,0.07818953593371519,0.07509539370302218,0.08737248990083504,0.08666756444964811,0.03953505171459964,0.04436041173348855,0.04170970509372305,0.04946420131234161,0.052509177702080155,0.0519170838817543,0.052803352748042216,0.054272613778184035,0.03824868327235437,0.039722813410111496,0.011710723003820115,0.018517862018503934,0.01648220523222111,0.019312586101127276,0.02791432926790192,0.03911637254326701,0.03930552530371192,0.02925356374505503,0.01501699467460331,0.017046954260414898,0.013108152155654746,0.017143830417936778,0.015484985561890307,0.034009923518380496,0.019283775052941092,0.0435219724159218,0.023526414584710453,0.04727318885477368,0.04920292962192656,0.04689541326169353,0.037407722197828425,0.03172087475332376,0.056672479943533534,0.047118007266697515,0.036993556988412224,0.013728652317075877,0.0269728720291839,0.038392388064919354,0.031946821068036306,0.03451799967926607,0.02061042085261023,0.027610380609844828,0.03191393514568143,0.03374173089052107,0.030551396428506822,0.032544430251897356,0.03781545107729377,0.03585656022620438,0.02664735172819785,0.03247836075195414,0.04794053502411159,0.08166172042662874,0.036791890164470056,0.009171789879405411,0.01544952374797618,0.026782009741365013,0.033990432279953214,0.034448544834544494,0.021623929784244655,0.009294186826182915,0.011243418491172845,0.009931531658865877,0.03943057677208115,0.02346510255258308,0.023630308122861515,0.04318987534502715,0.022205237850554675,0.039941347167069464
AMZN,0.06135211474805255,0.06541116530538957,0.100341617160167,0.06762312439556405,0.0864208398102161,0.11772447592829484,0.09102635393936533,0.0985068350335007,0.06270378996506484,0.03973643735461476,0.07308232830111332,0.0712218046307496,0.04358702416253097,0.026594269192802826,0.06595685007279377,0.053373808176375374,0.08157792963843943,0.06613923622552155,0.07797860847657631,0.0768771289840903,0.03211441961449796,0.036723924217951995,0.03381812779949664,0.042760985641393086,0.044734770844974084,0.04144526064895642,0.04337099752163016,0.04843018628006979,0.033999103897023535,0.0290358733687682,0.009958051511632532,0.0163277563181125,0.011761894046668638,0.01591941724545473,0.02302951741899943,0.03846520718737767,0.036409641976877904,0.027317394785186713,0.012279581101674094,0.015705296584008814,0.01071767692965182,0.014541498209053816,0.012661496864536558,0.03491464357253997,0.021185577323079647,0.03853448248900187,0.016572579705117652,0.03991319025476751,0.0461759266862529,0.039612188159493765,0.03623698266392491,0.030871836394008364,0.048608430931993254,0.036920707345756816,0.02810172154303297,0.012968954202516293,0.02256049979554318,0.03714167199603986,0.028053774153374334,0.029256882380132875,0.016580112636168688,0.02119684163959179,0.026879067642660254,0.029074613161601568,0.02649931489368057,0.02546149890069781,0.03197705659472566,0.02968455142014986,0.019207563865046736,0.02650812553775837,0.042191744111453294,0.07937650002642355,0.029799259981112464,0.00728260191532603,0.011571216173519878,0.02711980772342543,0.0323452191664321,0.03251363928666407,0.01994839251756864,0.0058030630771365435,0.008742019114080799,0.008259959216112554,0.036950578501032054,0.020932285695301762,0.02084107368386566,0.028945542015519504,0.014033407933053335,0.03608157925260453
TSLA,0.0873944115818575,0.07674284496415762,0.14214601550880301,0.07760954122854827,0.08805552508105731,0.09102635393936533,0.3953083547879803,0.14002155329537502,0.0875621332266246,0.045711065732001115,0.08550272851710045,0.09044158899124488,0.057338234123482844,0.03223811482694323,0.09915297158337442,0.07768834190116454,0.09952483229230101,0.10855263648992913,0.11049453489980912,0.11812947175300538,0.05300342699368401,0.05907119076741937,0.05805217496052293,0.06746599523134524,0.07082516198178881,0.07106983768408245,0.07149422292116375,0.06807611159970406,0.053586065612785214,0.05226256305663653,0.00898361015554903,0.015658597698700587,0.014186634176939382,0.019879015608501298,0.020308359258474233,0.04816375175607506,0.047525603979019046,0.030321922134333726,0.016268517710736577,0.02438827532477936,0.014646364495498625,0.018306181450543094,0.012329919532695762,0.0424761610708683,0.023848802455085232,0.05170292029748823,0.03077390713394918,0.05849745765467611,0.06032186292495238,0.057659809568369746,0.05087335399311273,0.048917821952887526,0.08870195745263024,0.0602220398363964,0.042734538141812876,0.015775249374780292,0.045543450799078324,0.039618585807298316,0.04070431459993152,0.03715638762288821,0.029788585547381174,0.04121573812933946,0.05083883983137567,0.05663061744609078,0.04893173821490459,0.039897886129731906,0.056042379596971906,0.06250558337339893,0.0491922663875064,0.04773200099617467,0.05975876585695874,0.09148001870274766,0.03900903060882207,0.004174083549994593,0.011651337480997611,0.03200165584492394,0.050176160753413634,0.039220516761669065,0.02955486013625537,0.007740346374718298,0.008954405580687526,0.005826973053341542,0.04833750165232254,0.025379792879724004,0.029821853440204143,0.07383300423587315,0.039944994876664135,0.04829455632666569
AMD,0.08362450070225409,0.08360100102051804,0.1892979098510762,0.08559397951906456,0.10102420167909071,0.0985068350335007,0.14002155329537502,0.3092234471332924,0.11014891721055071,0.0618913449821212,0.09362017932758146,0.08907907117969148,0.07311508533947278,0.046294991354212015,0.1189738960257661,0.09651327295774635,0.10749700680879853,0.11900111218132849,0.15051095308418946,0.14950083761888078,0.04880120495922192,0.05478019980367011,0.05177911634154917,0.06539656954155443,0.07048904666935588,0.06621488015917427,0.06355413033435219,0.06947202195639557,0.05597063897752345,0.0441751989931226,0.013342715183504893,0.022964772114259152,0.015051575645376484,0.025497789195894363,0.032586297402110755,0.05548879806935225,0.053385641691268845,0.037982486394574605,0.01785577360183374,0.031673960288709606,0.014648374577448664,0.01972185458267755,0.015553691964209828,0.04435510596190327,0.023910465786489237,0.05401308251223443,0.02523799157835586,0.06113171834076963,0.061778319111528035,0.05697852709072666,0.06302895268019026,0.05106694918778944,0.07714371795513493,0.06197002436084833,0.04408870546175805,0.020954981406288643,0.03772284439446232,0.05271548390393626,0.04184550856832698,0.04391112909141447,0.031949456039391776,0.04036831168654991,0.048121967165805794,0.054093316556121374,0.04822804080935928,0.047701686781912264,0.05834812517033915,0.0552040995526487,0.03797589258399425,0.05700503350342822,0.05472715542449231,0.09589144007069902,0.03944803257771885,0.006871479699519206,0.014197737553705353,0.03707271551549227,0.041984236305134044,0.04749047916890888,0.02976168858879247,0.008256688771093574,0.013491569637398278,0.011736751651654958,0.0521885225100032,0.026963634772174977,0.02953345419255149,0.041693664923643355,0.024703800900824816,0.05470300162428752
INTC,0.059811154234640986,0.058460506600006075,0.10424010059882013,0.058496194358935646,0.06797297585661473,0.06270378996506484,0.0875621332266246,0.11014891721055071,0.2155532871839807,0.052645176008939434,0.06084746028998323,0.0569342937174136,0.05287629506685245,0.04304927794555599,0.09120196832188382,0.08325976488882218,0.06039361060839842,0.0856023593571194,0.12237140290509539,0.11610857683695813,0.04987155510560388,0.053612182369075265,0.052925160336578916,0.05867388476714046,0.06299064855570959,0.06210965476718639,0.05705254687907054,0.057374530933462536,0.048247132194943566,0.04977815937639482,0.01917845446516483,0.028875262005571938,0.020310035698184847,0.03202984460148642,0.02879859464016834,0.043177465224518374,0.04291654843880497,0.03322326952740114,0.02280799197079619,0.03233247452895074,0.020882036861169146,0.02657922642358766,0.02099447476731623,0.03283799404414608,0.022842189762805942,0.04437098322351369,0.022248319151315338,0.045479027912930396,0.047084675490736305,0.0473334603761817,0.05630156712427082,0.04498642499682424,0.07171433668943393,0.054021886794544303,0.044896010952759205,0.02304253993479033,0.03567983257218574,0.04669942527176768,0.04088838722355273,0.044509344298256176,0.03522171540024074,0.04152937500870658,0.047451028006437926,0.05871100250150914,0.043602513877909484,0.05343638732023818,0.05518709341363078,0.05590630970536481,0.03540553794676041,0.053140669119910874,0.04784657108996483,0.05783620278841196,0.039518808729034224,0.015622542865646466,0.023067996524048714,0.030864722952826634,0.03525619355959392,0.038408354292436886,0.028984107764060383,0.017270875932334482,0.0205986928433326,0.017852438545759994,0.04527411037516837,0.02493232262971074,0.02698593872983313,0.0480812628962678,0.02564248862751155,0.03690254968296549
CSCO,0.04431766171077771,0.04211224373419228,0.061124060575718175,0.03988354248243093,0.0409601297800071,0.03973643735461476,0.045711065732001115,0.0618913449821212,0.052645176008939434,0.07143566316452192,0.04453382991270642,0.0416232934666879,0.04205775695713074,0.03688582117259787,0.04589455614059312,0.04616045403508404,0.04444977285043938,0.05209763062302068,0.05940566272009525,0.059044302588884864,0.03869453641028819,0.04410329843974337,0.04171479712261105,0.04252679443761444,0.04763262609729343,0.048112261506903946,0.04562918534858305,0.04372637277532266,0.03871501535279447,0.040529690436275766,0.02057782097614626,0.025290281275322027,0.019531628921553263,0.025716615226914177,0.024880369045648845,0.03207372509011121,0.03136384016109524,0.02956346959487281,0.021970804561457755,0.02654011343463714,0.019961171610794654,0.023323999346121733,0.020471139610170854,0.02677150327180957,0.021312837189176065,0.034296756989295005,0.023187049619523007,0.03819094972346098,0.03763907872301671,0.03610265758518474,0.04114018040501461,0.03722591807819845,0.04503505911162754,0.03940489589895303,0.035368618591071,0.023069345894932272,0.032762570326480965,0.032868393085870785,0.034258338561653945,0.03518218482667546,0.029963524767434472,0.033660006080979875,0.03937149662795329,0.041986151644390485,0.037363358410041146,0.0396150053746045,0.04297090057994436,0.04388222712180564,0.03028074304893504,0.042887028230332094,0.03708947736586054,0.036665063035811234,0.03150253967029737,0.01637654567975812,0.02318783215254483,0.026372955819807354,0.029206174187181303,0.0246149703202631,0.022636785646944903,0.017843702439426522,0.020114760729407693,0.016396457883015886,0.03429140432667302,0.02295950005775793,0.02309560309400124,0.0364103363311693,0.022919238436994498,0.02785690901626516
