,Annual Return,Annual Volatility,Sharpe
NVDA,0.5749356071739049,0.5078525475209376,1.0533285887511488
LLY,0.3542762644109366,0.31865713480072877,0.9862520875531888
AVGO,0.4451743713563578,0.4136455430094215,0.9795206988296481
AMD,0.5719429225902172,0.556078633947837,0.9565965856550355
COST,0.2420081311165834,0.22630975960894634,0.8926178502670183
TSLA,0.5439942207222332,0.6287355205394239,0.8015997255727355
GOOGL,0.2864201432378941,0.3100292638263938,0.7948286564841224
AAPL,0.2764533786740005,0.3057068331907112,0.7734644862402934
MU,0.42758014712457626,0.5032212029278453,0.770198363800163
CAT,0.28258038729717644,0.32226194618069876,0.7527428856311714
WMT,0.20818862142822014,0.22384588705788253,0.7513589980982299
AMAT,0.35431868032320624,0.4492749659753898,0.6996131637132523
MSFT,0.2387977246677283,0.28569134490537634,0.6958479079356499
MS,0.2398423237684113,0.32806633445067446,0.6091521829054303
GS,0.22495883196039926,0.31097965908285224,0.5947618326738274
AMZN,0.23891945618079447,0.3431100055788155,0.5797541690608053
DE,0.22385874807695458,0.3172969842280573,0.5794531849215625
MPC,0.2781414527537521,0.4217109185265505,0.5647030757131297
NFLX,0.2798993844782102,0.4297394458520049,0.5582438074833548
JPM,0.19748347423212328,0.28878767516861126,0.5453261609595186
ORCL,0.23032737505711978,0.3670673094750432,0.5185081050375042
AXP,0.21332649048771563,0.3397597021162267,0.5101443443943897
TMUS,0.17431262940130518,0.26514197281402935,0.506568718546543
VLO,0.25169463540130516,0.43003459309741776,0.49227350264202807
NEE,0.17293913106426131,0.2701014563182446,0.49218220766505966
ABBV,0.17145317956323292,0.2675419674105031,0.4913366707868215
SO,0.1538485796135591,0.2321886852285582,0.4903278534072005
GE,0.22863618065562738,0.3874386906799849,0.48688007985097276
TXN,0.19956911810074127,0.3288622671050175,0.48521564819652946
CSCO,0.1692613967364555,0.2672745090062312,0.48362785219237614
META,0.2345060045537947,0.4150000203502916,0.46868914461646727
QCOM,0.22636222981101273,0.39780931880527703,0.46847125243497584
LOW,0.18134416301371364,0.30431014604351353,0.4644740402231043
NOW,0.23387967320111658,0.41964926317001383,0.46200408344949123
EQIX,0.1664653567229391,0.28533409228686135,0.4432185292313294
MRK,0.14407115094706444,0.2355473646614285,0.4418268533662196
PLD,0.1642282465481811,0.28395690181945843,0.4374897942335143
AEP,0.13631656680703153,0.22028851708125152,0.43722917600605565
KMI,0.16418622671943253,0.28516665706689026,0.43548649059031724
COP,0.2088247180108587,0.3933079736955962,0.4292430596424213
RTX,0.16101847495371183,0.29627850079601037,0.40846188511340487
XOM,0.16212277405145142,0.30126511348604146,0.40536646489972605
TMO,0.1500537016940333,0.2754210028181776,0.3995835487052036
BLK,0.15684905075258274,0.29348866181873196,0.3981382109566892
KO,0.11550244630872779,0.1926514961988657,0.39191206815642854
UNP,0.13905232427055214,0.26324946534402655,0.3762679029228264
INTC,0.21314836949487193,0.46427716633922533,0.3729418158987397
PSX,0.1784460297771315,0.3787145681423114,0.3655682707328728
DUK,0.11686158843390448,0.21503916041747884,0.35743065720999256
DHR,0.13556422402450635,0.27116504354890153,0.352420882772349
IBM,0.13400106691277874,0.27185718408600296,0.34577370919519707
JNJ,0.10694344416485818,0.19469065929695767,0.343845176787607
C,0.16012148698453182,0.35098886584449257,0.34223731483765146
SBUX,0.1432856715394681,0.31376008241347814,0.32918678101109294
HD,0.12653140062973933,0.26317655044037597,0.3287960134933962
PG,0.10561564427284152,0.20020220936270758,0.32774685395187253
CVX,0.14165069124336857,0.3111663111768607,0.3266764029142999
BAC,0.14395014600441008,0.3184912196092741,0.3263830824973335
MCD,0.1098382701235932,0.21455111350252196,0.32550877496504943
LMT,0.11678193573145547,0.2515215823471341,0.3052697705498923
SCHW,0.14345120075690843,0.3475842518060476,0.29762913658883
SPG,0.15286028208823793,0.39672310877462613,0.2844812404218998
EOG,0.15421636442238462,0.4135558902739768,0.2761812057536343
EA,0.11851404205551301,0.28596669276578895,0.2745565971202709
HON,0.10388732211695952,0.24923864306922633,0.25632992272075056
CRM,0.13389999458176907,0.37133543973583505,0.25287108240616285
ABT,0.1011515392693091,0.24674053812598365,0.2478374236100824
O,0.10412077140859759,0.26729570210616777,0.23988702737588097
WFC,0.1217381148992057,0.3418794820119592,0.23908458740541336
PEP,0.08783800033167027,0.20865046737477405,0.2292733916849779
T,0.09061680630692308,0.2483514167532928,0.20381122430722742
OXY,0.14591642777281508,0.5257968852710226,0.2014398159057567
AMT,0.09475339822267664,0.27487176731142926,0.19919615156634524
ADBE,0.10494169280063735,0.36096363608101567,0.17991200860482706
CVS,0.0939774196765356,0.30270393383825983,0.17831753618827004
USB,0.09756653477077769,0.3243046899918425,0.17750756170755874
SLB,0.09897455113387925,0.433581903253432,0.13601709548151544
VZ,0.06466093919421917,0.21014582118434597,0.11735155643464298
BMY,0.06682289301829608,0.24952850596727508,0.10749430376429146
UPS,0.06566424584626812,0.2917102475726778,0.0879785542668467
BA,0.07452097027384234,0.44700047584005254,0.07722803920726647
CCI,0.054686771726317654,0.27330588952963286,0.053737487148901183
PFE,0.045809116648255696,0.25374586449775866,0.022893443641943602
DIS,0.04408827680488569,0.3068955279674322,0.013321395824704022
MMM,0.03867024531374033,0.283998186827524,-0.0046822647042716785
NKE,0.028041649038813794,0.3396492333970556,-0.03520794332901289
CMCSA,0.02289665542624863,0.2773479721800093,-0.06166745853346516
CHTR,-0.026065336170566913,0.35389338966978057,-0.1866814642460905
