,AAPL,MSFT,NVDA,GOOGL,META,AMZN,TSLA,AMD,INTC,CSCO,ADBE,CRM,ORCL,IBM,QCOM,TXN,NOW,AVGO,MU,AMAT,JPM,BAC,WFC,GS,MS,C,AXP,BLK,SCHW,USB,JNJ,PFE,MRK,ABBV,LLY,TMO,DHR,ABT,BMY,CVS,KO,PEP,PG,COST,WMT,HD,MCD,SBUX,NKE,LOW,CAT,DE,BA,GE,HON,LMT,RTX,UPS,UNP,MMM,XOM,CVX,COP,SLB,EOG,PSX,MPC,OXY,KMI,VLO,DIS,NFLX,CMCSA,VZ,T,TMUS,CHTR,EA,NEE,DUK,SO,AEP,PLD,AMT,CCI,SPG,O,EQIX
AAPL,1.0,0.6774096492217411,0.5659132506102528,0.6112201905224457,0.5238998749278705,0.5849126417723715,0.45468488766186577,0.4919173980500667,0.4214050270929293,0.542393094228898,0.5786844009840089,0.5091921840700852,0.3643955703064862,0.38655647661134884,0.5626335573033893,0.5697029494612443,0.5083299725762356,0.5157144512288108,0.4535921020533264,0.5478439226190955,0.4290286629622095,0.43751684087009235,0.3768285684794779,0.4883819134334867,0.5022270587001575,0.4454186061754546,0.463641508558589,0.565479431534307,0.35601894460662625,0.377918158938305,0.3138720699113786,0.2958934634408625,0.2837747095422496,0.28192174508179446,0.27902582691131306,0.4706115706245859,0.47230833031219094,0.43421824943986576,0.2669358517389049,0.25234496243339555,0.3492089822341003,0.4010948247267972,0.35405333916272036,0.49594122218751197,0.3381884722926991,0.5168469156298457,0.3962493634054201,0.4624289234466586,0.461652212345594,0.47641544768807503,0.3954257323505189,0.39137654841958325,0.4051154963989102,0.34982181593566186,0.47490308010022386,0.26261810907237626,0.3474101144021636,0.44186602744543957,0.45528923369359825,0.3949079641589256,0.29524437676933285,0.33638558579391453,0.3074054334359585,0.2909366004438045,0.26852990342619587,0.3047884161038178,0.3155130323549661,0.2653313652908883,0.3142085043038518,0.2724736897305383,0.4343819115611757,0.4337928751677501,0.40077255070202283,0.21198528245628645,0.26525511830778664,0.364569218537904,0.3318143563823171,0.36562892322717844,0.32223193363499014,0.2542216041616599,0.2667370571584265,0.2440097271583753,0.48949903936803035,0.33563226525379486,0.3451232210805195,0.33754394166848156,0.321583804505268,0.41262242761896595
MSFT,0.6774096492217411,1.0,0.6496716680618675,0.678678094506834,0.5901545310657548,0.6673004531753047,0.4272408937972952,0.5262331288375435,0.44074578315206264,0.5515104644940692,0.6970773131639206,0.6386533450581509,0.5022357423891982,0.3920256806343372,0.5313021010618799,0.5308724353990011,0.6604164497201342,0.5473123649880939,0.4800986693117964,0.570917821990417,0.4309083699020346,0.42732090110762433,0.370740142852484,0.47772169620460664,0.5070759379704912,0.4336976420526865,0.4729165961906303,0.5850492662424407,0.38435270205014005,0.34299402975576676,0.29832100015100266,0.2910480634146173,0.25953694873048133,0.2990110332011577,0.2996551945757206,0.48929793915539277,0.49688276750872384,0.46487138602607575,0.22583868206129346,0.25276703115753413,0.33022525665994495,0.3741285715937431,0.3399384872525296,0.5139664863508832,0.32999243453703714,0.5190085555132875,0.38875713721273114,0.44984223949630114,0.43045839764251964,0.47325061036146665,0.366942751990269,0.3440616358408063,0.37834583705514646,0.32322942504222985,0.45838381456082256,0.2632575394400497,0.3423371450548607,0.394003900591762,0.4105814078124647,0.36287306666079605,0.24210419923154267,0.32368162624762853,0.2841807760588337,0.23569229560889318,0.250852490174574,0.27741268774645017,0.30175965271260435,0.2352252093599806,0.3149725246116546,0.26454861314500155,0.4463969171191848,0.4894626491857544,0.399492985700857,0.18651771240895998,0.20556102376319677,0.38632993631822704,0.3095637866226647,0.3978298519796779,0.3152959461994153,0.24878375823416682,0.2610410456854014,0.23053666050227817,0.45826716144442975,0.35613180768009944,0.3466470052943049,0.29406922197062274,0.31569040835479756,0.4465962605810677
NVDA,0.5659132506102528,0.6496716680618675,1.0,0.5644458960062962,0.5251876300891709,0.5758509370240126,0.44517324839496325,0.6703042526771172,0.4420993347377202,0.4503156305932293,0.5544491216202033,0.5122636676275966,0.43446004700179514,0.30128468295382277,0.5848355772556164,0.5587181706609344,0.5385366766053606,0.6340185828828969,0.6039404999002409,0.6685989151684547,0.3577835080857703,0.3476538321285667,0.30457570449428895,0.4348190737516213,0.4541903320511855,0.3773136753662981,0.3908917968946863,0.5088911369864519,0.336717485932756,0.27009050448885247,0.11220205989065829,0.15659878433773208,0.12832102075539087,0.19135965511614664,0.2194104990437366,0.4079933514806284,0.39949373583123343,0.3244784133087806,0.11849097567146086,0.1603111934613612,0.14214475493306628,0.1860478282560764,0.1566189571708285,0.4045444267242364,0.21784887560162552,0.42503081623371886,0.24366872065961773,0.37062742001355165,0.36332235586247386,0.393261345987423,0.38174566223449663,0.3241539658928473,0.34425762042632563,0.33974955629286063,0.3568915898630365,0.15157759626682912,0.27052037279672303,0.34089743211478973,0.3361832995948399,0.30947667371622783,0.19855621707428814,0.25884825340002127,0.2518139754739631,0.23778352536951383,0.2142398438197649,0.23035137935822145,0.2781520589605429,0.1999468307341569,0.27172839007315325,0.2279736233002109,0.367659338829001,0.45817181910047206,0.2757972445299742,0.04763970296589502,0.09745459228328188,0.271813666185694,0.2318930075046533,0.33609893412567055,0.19969555516323778,0.07286142139060141,0.09651102966497653,0.0698064541011471,0.3509234680098769,0.2003149678125242,0.20181386455708294,0.23066625853871897,0.18286196247293615,0.375109649485807
GOOGL,0.6112201905224457,0.678678094506834,0.5644458960062962,1.0,0.5953046893218839,0.6357101720751964,0.3981479010457087,0.49648292950828504,0.4063942911471441,0.4813195435950415,0.5758096861306076,0.5121742015574117,0.3762501744436311,0.3614312736975263,0.5130571187634281,0.5071460861106664,0.5126376193707818,0.4925062272019844,0.4745229634461555,0.5416496384695072,0.41352714645954536,0.4120565800864949,0.3681360541056604,0.46539504669236476,0.4734825273160139,0.4282530256149086,0.4541443310467009,0.5350212923448636,0.34580068119200197,0.35548044974855725,0.25155348051427256,0.24542686803993707,0.21945110497900136,0.2693061864476454,0.26193380433456637,0.432047470937079,0.4279481785785421,0.3760892367906412,0.23002376009127812,0.2010852355275505,0.2786065819871395,0.2851891430704243,0.25558968754604944,0.41333532576632476,0.2610260880142812,0.4426617076167651,0.3299957245232083,0.40524774144477455,0.3971652579025985,0.4117057274681119,0.4016283319704287,0.3349734127890878,0.37152997211050715,0.32744382985907233,0.43059224471803315,0.20650145421905883,0.33598627300548345,0.34939512839856696,0.3923839253503776,0.3494413654309463,0.2518054350756985,0.30517878252093966,0.28012194051198364,0.2801853831578462,0.25974509399102774,0.27495699491421605,0.3098449877063949,0.24302708518409227,0.31645788581119627,0.27388882469767595,0.42079189723841504,0.43518953815385175,0.36565966453439636,0.16729967541701127,0.1986455675596975,0.31850144901767835,0.29041282014559777,0.33863242882553296,0.26612205679926293,0.18295799724272688,0.20762832829856995,0.17001705376832946,0.40499662530643993,0.26516378971463744,0.25642743375828486,0.3003743732954397,0.2692980684380972,0.36565334072993166
META,0.5238998749278705,0.5901545310657548,0.5251876300891709,0.5953046893218839,1.0,0.6069277313310008,0.33747413787016367,0.4377650650045033,0.35278559255597314,0.36927989665276206,0.5117736117942457,0.4841411878224243,0.32723806482998724,0.2662443352904605,0.4151657436779657,0.4226668386014668,0.4489666195527565,0.43745847162052837,0.4183768662647882,0.46483225256903005,0.32987966029828447,0.33562166418091693,0.2939787669002943,0.3832753596892473,0.38567850324684855,0.35642555358105027,0.3744911110463867,0.4455960082910999,0.26516016437079004,0.29514719008129336,0.14494074017678715,0.1758505588324927,0.16861218250353638,0.1739403736143951,0.2110840567330044,0.3422263146052021,0.3492784441594438,0.28568678712900103,0.14501560621981593,0.13570023911723933,0.16395360473779358,0.19798869006165254,0.1863776454339683,0.362121452732823,0.20758445093880717,0.3984861773242398,0.2642267938881405,0.36305221487439815,0.34906974232720384,0.37133494147099194,0.27970750590155696,0.24089683429194675,0.3055034464603214,0.29304600720419405,0.35765359539748165,0.13152385568573613,0.2193708588294942,0.31713583839782944,0.292423340175586,0.29287475280056935,0.16485035952241664,0.21381181690262333,0.19552373690838035,0.18752021484929715,0.17801177746624958,0.20706969472861836,0.21607589557086124,0.16432456738741583,0.22516827038548864,0.18198793228308005,0.3764126398460823,0.4578942477675482,0.3196531489976411,0.10516838877065025,0.14989955253149015,0.2433977517127359,0.2314387735706295,0.29027344722098425,0.19291214885303842,0.10414675059544845,0.11668343494999145,0.10863662224064699,0.334605120485029,0.20570469484642534,0.2083398158988994,0.2623290183455335,0.2001775344117021,0.33730356071457296
AMZN,0.5849126417723715,0.6673004531753047,0.5758509370240126,0.6357101720751964,0.6069277313310008,1.0,0.42195464095776664,0.5162936387673953,0.39362537138963755,0.43330929346972463,0.590086310205935,0.5590017804713086,0.34608129549943983,0.28511092784278896,0.48322742192425244,0.4730213695396483,0.5665690301557477,0.46601236825538667,0.4516303991499123,0.49871399214776757,0.32410672334372814,0.3360610931478572,0.28829900322343754,0.4007581297090359,0.3974204107882564,0.34415030000720087,0.3720438764772642,0.4809405863854355,0.2850847566137462,0.2609445804601789,0.1490719284831417,0.18754010479706995,0.14553439014586628,0.1734210719659752,0.2106336762597939,0.40704051387700574,0.3913355683516231,0.32267505189894874,0.1434266988235476,0.1512149375170361,0.16214176361729615,0.20312174056865462,0.1843243890082263,0.4496462198637986,0.27584035393388917,0.426745507482513,0.2251261584920869,0.370753593402411,0.3962338719003834,0.3793840059207248,0.3277250359685898,0.2835718632418917,0.31693502326490963,0.2777369369960785,0.3286125647845131,0.15027831510336584,0.2219295820641603,0.37108754796792087,0.3105921075488801,0.3002472895354737,0.16040032740829213,0.19853871237808934,0.19918107235267415,0.19543818232828064,0.18675277000611742,0.1959469790180144,0.22099897386559728,0.16454288149786447,0.19630897636045888,0.1796562138825185,0.4006854161649382,0.5383359007087408,0.31314616787021815,0.1010025712274148,0.13579350008743157,0.2981087612188749,0.26638162550649075,0.33137271620940784,0.21525219876981258,0.07865138099728176,0.1097330161490989,0.10928301310776391,0.3792585935679275,0.22194897101676167,0.22224792538529345,0.2126477563970926,0.15301633341529977,0.3685517603280217
TSLA,0.45468488766186577,0.4272408937972952,0.44517324839496325,0.3981479010457087,0.33747413787016367,0.42195464095776664,1.0,0.40048908649390685,0.29996529541843786,0.2720168516743061,0.3767458911886452,0.38737696095439056,0.24844519882923125,0.18860831150246674,0.39642659791410967,0.37572821513028454,0.3772046109648018,0.41739191279773785,0.34923187047466747,0.41819423862615496,0.2919155964992143,0.29499201813073517,0.27007069473030604,0.345052319827664,0.3433664936876536,0.3220505069109623,0.33468102185471443,0.3689227327117747,0.24520187314533587,0.2563123182088169,0.0733901516344729,0.09814900400175303,0.09579285645494975,0.1181775444391818,0.10136387252890855,0.2781347530116462,0.27875710477777305,0.19545564773677063,0.1036954788733251,0.1281430414555557,0.12091758232291727,0.13954375468569435,0.09795427167356412,0.2985203753957466,0.16945307747832983,0.31246392725572414,0.22813077164129747,0.29653182108758036,0.28247245868093895,0.30136219793153163,0.25108071039034996,0.24520717339432221,0.3156146994072326,0.24722049794984866,0.27270659440389944,0.09975461116788134,0.2444881412333125,0.2160127007503625,0.245926286438487,0.2080893822656737,0.15726534869736156,0.21066991206934718,0.20558663750422163,0.2077361855115597,0.188186487459218,0.1675598173595571,0.21136531702535044,0.18907443320606654,0.2743658730251912,0.17653802012358286,0.3097013248566149,0.33857355113411725,0.22370318453020802,0.031591655354749434,0.07461757716095568,0.19196673146610715,0.22550541808555524,0.2181372642700861,0.17403395348762116,0.057249914593462944,0.061337731836076693,0.04207103087216968,0.2707470755165589,0.1468554073207751,0.1735472132870169,0.29600227228713344,0.23768534077651482,0.2692009070733092
AMD,0.4919173980500667,0.5262331288375435,0.6703042526771172,0.49648292950828504,0.4377650650045033,0.5162936387673953,0.40048908649390685,1.0,0.42664503753230676,0.4164244027871797,0.4664120985196449,0.4313929781497209,0.35819958147201486,0.3062365225830637,0.5378244262661576,0.5277603859156867,0.4606527818871083,0.5173523932858448,0.5378646048147946,0.5984049775243356,0.30388949134088855,0.3093071358140343,0.2723612938493401,0.37816974065628933,0.3863881174753016,0.3392548373378152,0.33638428960453204,0.42567917317005377,0.28957693359712333,0.24495656117507544,0.1232431786980776,0.1627522340090997,0.11491256196754286,0.1713856284118318,0.183897218871836,0.3623031032208588,0.3540418126838811,0.2768258708138263,0.12868333148465094,0.18816900754450971,0.13673536114345228,0.16997779132439705,0.13971029804156287,0.3524553678115375,0.19208909425733758,0.36907579531551526,0.21153771538529115,0.3503746721940569,0.32709148637864083,0.3367119867832908,0.3517182119038016,0.2894261451460244,0.31035330303432107,0.2876354895298236,0.3181088564343227,0.14982207740820955,0.22896446475166207,0.32497526234954294,0.2858545727913534,0.27804995450923203,0.19071217384822248,0.23329842472862983,0.220026207307562,0.22435525874254733,0.20971485777957097,0.22650902788369723,0.24881459509455098,0.18880657438235807,0.23948208861332881,0.23838207944387935,0.3206831246523018,0.40127158989736217,0.25577856391260134,0.0588021628929848,0.10280548670960711,0.25144309083752253,0.21334260738571856,0.2986447538990542,0.19815016290416992,0.06904816639239628,0.10449252370051396,0.09581198703365232,0.3305113394495208,0.17640548821241903,0.19432516507475167,0.18899328103980784,0.1662017507013759,0.3447635020349142
INTC,0.4214050270929293,0.44074578315206264,0.4420993347377202,0.4063942911471441,0.35278559255597314,0.39362537138963755,0.29996529541843786,0.42664503753230676,1.0,0.424251822357518,0.3630794576774106,0.33024040842442454,0.3102687126715266,0.3410733071647237,0.4938009645104463,0.5453104353675065,0.3099753824381121,0.4457384109374662,0.523773693567954,0.5566404426834001,0.3719605926733948,0.36256735408132956,0.33343548760159153,0.40638300308428943,0.4135586305989197,0.3811434407763271,0.36168112440110833,0.4210663103890993,0.29897445818535684,0.3306041336603093,0.21217351186430458,0.24510356922177365,0.18571847633520877,0.2578609569852272,0.1946571331349667,0.3376624464443712,0.34088960524519646,0.2900177218776521,0.1968745416329521,0.23006129181500265,0.23346573343465596,0.2743757027102373,0.22587014105256997,0.31253309397022694,0.21979170143451393,0.363140374530323,0.22335162055712834,0.312202342864158,0.29858749670782536,0.3350229031746577,0.3762999258463794,0.30537832760063255,0.3455577800084485,0.30032358186927305,0.3879851040714726,0.1973230261382955,0.25938529065273336,0.34481212167277353,0.334545473347054,0.33756569406598974,0.2518165880204159,0.28746534657857403,0.2598576756099658,0.29165607274808253,0.22709103675003747,0.30391193266070987,0.2818677253043942,0.22901582432039816,0.2674207655492655,0.2661621528429736,0.33580173409623176,0.2898793155532604,0.306903276195714,0.16012297169874476,0.2000626008247573,0.2507301581106378,0.214578223844887,0.28928966676395074,0.23112966234688795,0.17298939647393644,0.19108266259662118,0.17455341998046559,0.3434157198691667,0.19536883115239523,0.21267244028863289,0.2610423933931929,0.2066288081921923,0.2785642523098682
CSCO,0.542393094228898,0.5515104644940692,0.4503156305932293,0.4813195435950415,0.36927989665276206,0.43330929346972463,0.2720168516743061,0.4164244027871797,0.424251822357518,1.0,0.46160345732006747,0.41938462128498344,0.4286895115331939,0.5076461558838188,0.43164695465570685,0.5251682777477668,0.3963013398606319,0.47122907922109636,0.4416837009656468,0.4917090898781087,0.5013181783570078,0.5181029520401075,0.4565197366625382,0.5116501719342984,0.54323196793323,0.5128671598563874,0.5024736678181517,0.5574354504003275,0.4167367533994507,0.4675870954107176,0.395454688049839,0.37290408956371374,0.3102434880722672,0.3596369867073016,0.2921296447677472,0.43570727040026536,0.4327509087145006,0.44828824806191436,0.3294338745888243,0.3280402765886626,0.38766456160210616,0.41824053198597716,0.3825741427890055,0.44260053508644137,0.35623337696675167,0.4875827423711761,0.40434974928465806,0.4554127944922396,0.41462053312248776,0.44387961374936885,0.47763883002734125,0.4389569529705371,0.37695127036816833,0.38053066120376783,0.5309396743813874,0.3431646024114257,0.4137331191672467,0.4215695614216596,0.48690166403903046,0.46349995688191575,0.3721230027412166,0.40472877105291033,0.37453433076998105,0.36230754828979617,0.33802915102224806,0.3913723744913619,0.38124316805369546,0.3122576675661014,0.397292386936526,0.37313416906135327,0.45217090403541116,0.31921969338168105,0.4249746567945695,0.2915707823730551,0.34933006589123977,0.37215407902205316,0.3087768127666233,0.3220522393449617,0.3135669575827993,0.31046301891126554,0.32412779751048476,0.2784842498922968,0.45183024794935694,0.3125177953264575,0.3161715414141425,0.3433836809104629,0.32081204571952465,0.3652764893663635
